episode_id,policy,task,success,time_to_success,timeout,pair_id,unit_id,session_id
ckpt_0400-20,ckpt_0400,pick_box,1,16.2,30,p20,fr3_a,2026-09-18
ckpt_0520-20,ckpt_0520,pick_box,1,12.7,30,p20,fr3_a,2026-09-18
ckpt_0400-21,ckpt_0400,pick_mug,1,13.6,30,p21,fr3_a,2026-09-18
ckpt_0520-21,ckpt_0520,pick_mug,1,21.2,30,p21,fr3_a,2026-09-18
ckpt_0400-22,ckpt_0400,pick_bottle,1,23.7,30,p22,fr3_a,2026-09-18
ckpt_0520-22,ckpt_0520,pick_bottle,1,16.1,30,p22,fr3_a,2026-09-18
ckpt_0400-23,ckpt_0400,pick_box,0,,30,p23,fr3_a,2026-09-18
ckpt_0520-23,ckpt_0520,pick_box,1,8.5,30,p23,fr3_a,2026-09-18
ckpt_0400-24,ckpt_0400,pick_mug,1,22.4,30,p24,fr3_a,2026-09-18
ckpt_0520-24,ckpt_0520,pick_mug,1,11.2,30,p24,fr3_a,2026-09-18
ckpt_0400-25,ckpt_0400,pick_bottle,1,11.0,30,p25,fr3_a,2026-09-18
ckpt_0520-25,ckpt_0520,pick_bottle,1,16.9,30,p25,fr3_a,2026-09-18
ckpt_0400-26,ckpt_0400,pick_box,1,14.0,30,p26,fr3_a,2026-09-18
ckpt_0520-26,ckpt_0520,pick_box,1,15.2,30,p26,fr3_a,2026-09-18
ckpt_0400-27,ckpt_0400,pick_mug,1,10.4,30,p27,fr3_a,2026-09-18
ckpt_0520-27,ckpt_0520,pick_mug,0,,30,p27,fr3_a,2026-09-18
ckpt_0400-28,ckpt_0400,pick_bottle,0,,30,p28,fr3_a,2026-09-18
ckpt_0520-28,ckpt_0520,pick_bottle,1,13.3,30,p28,fr3_a,2026-09-18
ckpt_0400-29,ckpt_0400,pick_box,0,,30,p29,fr3_a,2026-09-18
ckpt_0520-29,ckpt_0520,pick_box,1,22.3,30,p29,fr3_a,2026-09-18
ckpt_0400-30,ckpt_0400,pick_mug,1,13.4,30,p30,fr3_a,2026-09-18
ckpt_0520-30,ckpt_0520,pick_mug,1,26.1,30,p30,fr3_a,2026-09-18
ckpt_0400-31,ckpt_0400,pick_bottle,1,12.0,30,p31,fr3_a,2026-09-18
ckpt_0520-31,ckpt_0520,pick_bottle,1,19.6,30,p31,fr3_a,2026-09-18
ckpt_0400-32,ckpt_0400,pick_box,1,25.1,30,p32,fr3_a,2026-09-18
ckpt_0520-32,ckpt_0520,pick_box,1,22.4,30,p32,fr3_a,2026-09-18
ckpt_0400-33,ckpt_0400,pick_mug,1,20.5,30,p33,fr3_a,2026-09-18
ckpt_0520-33,ckpt_0520,pick_mug,1,21.0,30,p33,fr3_a,2026-09-18
ckpt_0400-34,ckpt_0400,pick_bottle,1,16.3,30,p34,fr3_a,2026-09-18
ckpt_0520-34,ckpt_0520,pick_bottle,1,17.9,30,p34,fr3_a,2026-09-18
ckpt_0400-35,ckpt_0400,pick_box,1,10.9,30,p35,fr3_a,2026-09-18
ckpt_0520-35,ckpt_0520,pick_box,1,19.8,30,p35,fr3_a,2026-09-18
ckpt_0400-36,ckpt_0400,pick_mug,1,26.5,30,p36,fr3_a,2026-09-18
ckpt_0520-36,ckpt_0520,pick_mug,1,14.9,30,p36,fr3_a,2026-09-18
ckpt_0400-37,ckpt_0400,pick_bottle,1,8.5,30,p37,fr3_a,2026-09-18
ckpt_0520-37,ckpt_0520,pick_bottle,0,,30,p37,fr3_a,2026-09-18
ckpt_0400-38,ckpt_0400,pick_box,1,23.7,30,p38,fr3_a,2026-09-18
ckpt_0520-38,ckpt_0520,pick_box,1,17.7,30,p38,fr3_a,2026-09-18
ckpt_0400-39,ckpt_0400,pick_mug,1,26.8,30,p39,fr3_a,2026-09-18
ckpt_0520-39,ckpt_0520,pick_mug,1,17.5,30,p39,fr3_a,2026-09-18
ckpt_0400-40,ckpt_0400,pick_bottle,1,14.6,30,p40,fr3_a,2026-09-18
ckpt_0520-40,ckpt_0520,pick_bottle,1,16.8,30,p40,fr3_a,2026-09-18
ckpt_0400-41,ckpt_0400,pick_box,1,24.5,30,p41,fr3_a,2026-09-18
ckpt_0520-41,ckpt_0520,pick_box,0,,30,p41,fr3_a,2026-09-18
ckpt_0400-42,ckpt_0400,pick_mug,1,19.1,30,p42,fr3_a,2026-09-18
ckpt_0520-42,ckpt_0520,pick_mug,1,21.4,30,p42,fr3_a,2026-09-18
ckpt_0400-43,ckpt_0400,pick_bottle,1,21.2,30,p43,fr3_a,2026-09-18
ckpt_0520-43,ckpt_0520,pick_bottle,1,23.4,30,p43,fr3_a,2026-09-18
ckpt_0400-44,ckpt_0400,pick_box,1,26.3,30,p44,fr3_a,2026-09-18
ckpt_0520-44,ckpt_0520,pick_box,1,8.7,30,p44,fr3_a,2026-09-18
ckpt_0400-45,ckpt_0400,pick_mug,1,15.4,30,p45,fr3_a,2026-09-18
ckpt_0520-45,ckpt_0520,pick_mug,1,24.2,30,p45,fr3_a,2026-09-18
ckpt_0400-46,ckpt_0400,pick_bottle,1,27.1,30,p46,fr3_a,2026-09-18
ckpt_0520-46,ckpt_0520,pick_bottle,1,18.3,30,p46,fr3_a,2026-09-18
ckpt_0400-47,ckpt_0400,pick_box,1,26.7,30,p47,fr3_a,2026-09-18
ckpt_0520-47,ckpt_0520,pick_box,1,8.9,30,p47,fr3_a,2026-09-18
ckpt_0400-48,ckpt_0400,pick_mug,1,27.8,30,p48,fr3_a,2026-09-18
ckpt_0520-48,ckpt_0520,pick_mug,0,,30,p48,fr3_a,2026-09-18
ckpt_0400-49,ckpt_0400,pick_bottle,0,,30,p49,fr3_a,2026-09-18
ckpt_0520-49,ckpt_0520,pick_bottle,0,,30,p49,fr3_a,2026-09-18
ckpt_0400-50,ckpt_0400,pick_box,0,,30,p50,fr3_a,2026-09-18
ckpt_0520-50,ckpt_0520,pick_box,1,14.3,30,p50,fr3_a,2026-09-18
ckpt_0400-51,ckpt_0400,pick_mug,0,,30,p51,fr3_a,2026-09-18
ckpt_0520-51,ckpt_0520,pick_mug,1,15.5,30,p51,fr3_a,2026-09-18
ckpt_0400-52,ckpt_0400,pick_bottle,1,22.9,30,p52,fr3_a,2026-09-18
ckpt_0520-52,ckpt_0520,pick_bottle,1,26.7,30,p52,fr3_a,2026-09-18
ckpt_0400-53,ckpt_0400,pick_box,1,10.5,30,p53,fr3_a,2026-09-18
ckpt_0520-53,ckpt_0520,pick_box,1,11.1,30,p53,fr3_a,2026-09-18
ckpt_0400-54,ckpt_0400,pick_mug,1,20.0,30,p54,fr3_a,2026-09-18
ckpt_0520-54,ckpt_0520,pick_mug,0,,30,p54,fr3_a,2026-09-18
ckpt_0400-55,ckpt_0400,pick_bottle,1,14.2,30,p55,fr3_a,2026-09-18
ckpt_0520-55,ckpt_0520,pick_bottle,1,27.4,30,p55,fr3_a,2026-09-18
ckpt_0400-56,ckpt_0400,pick_box,1,10.9,30,p56,fr3_a,2026-09-18
ckpt_0520-56,ckpt_0520,pick_box,1,12.6,30,p56,fr3_a,2026-09-18
ckpt_0400-57,ckpt_0400,pick_mug,1,21.6,30,p57,fr3_a,2026-09-18
ckpt_0520-57,ckpt_0520,pick_mug,1,18.1,30,p57,fr3_a,2026-09-18
ckpt_0400-58,ckpt_0400,pick_bottle,1,19.6,30,p58,fr3_a,2026-09-18
ckpt_0520-58,ckpt_0520,pick_bottle,1,24.1,30,p58,fr3_a,2026-09-18
ckpt_0400-59,ckpt_0400,pick_box,1,22.8,30,p59,fr3_a,2026-09-18
ckpt_0520-59,ckpt_0520,pick_box,1,10.5,30,p59,fr3_a,2026-09-18
